,loss,lr,weight_decay,nheads,dim,num_points,num_layers,dim_feedforward
0,0.7799590826034546,0.01,0.01,64,64,6,1,2048
1,0.5609244704246521,0.01,0.01,8,64,12,3,2048
2,0.4913764297962188,0.01,0.01,16,64,6,3,2048
3,0.6890000700950623,0.01,0.01,16,64,12,3,2048
4,0.7108153700828552,0.01,0.01,32,64,6,2,2048
5,0.0546562150120735,0.01,0.01,1,64,12,1,2048
6,0.6196649074554443,0.01,0.01,32,64,6,3,2048
7,0.520939826965332,0.01,0.01,8,64,6,3,2048
8,0.7633880376815796,0.01,0.01,8,64,12,2,2048
9,0.4647265970706939,0.01,0.01,4,64,12,3,2048
10,0.1140753999352455,0.01,0.01,1,64,6,2,2048
11,0.569474458694458,0.01,0.01,64,64,6,3,2048
12,0.4953177273273468,0.01,0.01,8,64,6,2,2048
13,0.835938572883606,0.01,0.01,64,64,12,2,2048
14,0.3826748728752136,0.01,0.01,4,64,6,3,2048
15,0.5640437006950378,0.01,0.01,4,64,12,2,2048
16,0.1345545947551727,0.01,0.01,1,64,6,3,2048
17,0.2429364025592804,0.01,0.01,2,64,6,2,2048
18,0.8709205389022827,0.01,0.01,64,64,12,1,2048
19,0.740611732006073,0.01,0.01,8,64,6,1,2048
20,0.8020628094673157,0.01,0.01,4,64,12,1,2048
21,0.3577376902103424,0.01,0.01,4,64,6,2,2048
22,0.5783917903900146,0.01,0.01,2,64,6,1,2048
23,0.8670272827148438,0.01,0.01,32,64,12,1,2048
24,0.7749844193458557,0.01,0.01,32,64,6,1,2048
25,0.7439494132995605,0.01,0.01,32,64,12,3,2048
26,0.691548764705658,0.01,0.01,4,64,6,1,2048
27,0.3523550927639007,0.01,0.01,2,64,12,2,2048
28,0.8540975451469421,0.01,0.01,32,64,12,2,2048
29,0.721823513507843,0.01,0.01,64,64,6,2,2048
30,0.819618284702301,0.01,0.01,16,64,12,2,2048
31,0.8596609234809875,0.01,0.01,16,64,12,1,2048
32,0.8196552395820618,0.01,0.01,64,64,12,3,2048
33,0.3229600489139557,0.01,0.01,2,64,12,3,2048
34,0.1189629063010215,0.01,0.01,1,64,12,2,2048
35,0.842475175857544,0.01,0.01,8,64,12,1,2048
36,0.2311776131391525,0.01,0.01,2,64,6,3,2048
37,0.6789491176605225,0.01,0.01,16,64,6,2,2048
38,0.7636857628822327,0.01,0.01,16,64,6,1,2048
39,0.1196677461266517,0.01,0.01,1,64,12,3,2048
40,0.0527562350034713,0.01,0.01,1,64,6,1,2048
41,0.6899850964546204,0.01,0.01,2,64,12,1,2048
